IdxCd,IdxNm,TrdDt,OpPr,HiPr,LoPr,ClPr
399001,深证成指,2011-09-27,10416.90,10513.94,10314.53,10448.66
399001,深证成指,2011-09-28,10522.35,10549.90,10327.53,10369.93
399001,深证成指,2011-09-29,10296.69,10411.70,10224.73,10287.90
399001,深证成指,2011-09-30,10340.04,10383.52,10249.78,10292.33
399001,深证成指,2011-10-10,10315.96,10343.66,10158.41,10170.75
399001,深证成指,2011-10-11,10416.61,10452.33,9953.13,10065.47
399001,深证成指,2011-10-12,9997.56,10444.02,9949.14,10425.93
399001,深证成指,2011-10-13,10399.39,10564.55,10362.35,10481.84
399001,深证成指,2011-10-14,10457.75,10500.11,10352.26,10438.26
399001,深证成指,2011-10-17,10455.51,10588.13,10450.51,10513.49
399001,深证成指,2011-10-18,10442.57,10469.17,10215.94,10226.93
399001,深证成指,2011-10-19,10255.60,10304.32,10094.33,10105.74
399001,深证成指,2011-10-20,10049.37,10049.37,9721.11,9796.23
399001,深证成指,2011-10-21,9799.95,9857.97,9691.60,9697.21
399001,深证成指,2011-10-24,9735.34,9977.60,9653.51,9957.62
399001,深证成指,2011-10-25,9954.23,10241.10,9916.35,10203.40
399001,深证成指,2011-10-26,10146.75,10418.35,10144.43,10315.75
399001,深证成指,2011-10-27,10341.41,10400.47,10293.20,10323.29
399001,深证成指,2011-10-28,10476.64,10637.10,10474.55,10561.99
399001,深证成指,2011-10-31,10546.41,10546.41,10415.55,10480.91
399001,深证成指,2011-11-01,10389.02,10563.47,10364.71,10441.70
399001,深证成指,2011-11-02,10291.62,10581.75,10233.63,10581.75
399001,深证成指,2011-11-03,10618.46,10777.77,10618.46,10624.12
399001,深证成指,2011-11-04,10721.48,10791.39,10642.50,10699.49
399001,深证成指,2011-11-07,10660.15,10717.21,10579.42,10591.66
399001,深证成指,2011-11-08,10619.41,10663.66,10519.26,10541.10
399001,深证成指,2011-11-09,10575.18,10636.50,10455.69,10625.88
399001,深证成指,2011-11-10,10508.72,10567.48,10464.36,10477.55
399001,深证成指,2011-11-11,10500.57,10531.14,10375.38,10418.93
399001,深证成指,2011-11-14,10501.73,10645.68,10495.70,10645.68
399001,深证成指,2011-11-15,10631.05,10640.32,10545.01,10583.00
399001,深证成指,2011-11-16,10593.55,10595.88,10282.25,10313.33
399001,深证成指,2011-11-17,10317.32,10408.60,10296.52,10303.16
399001,深证成指,2011-11-18,10236.99,10242.07,10002.77,10025.17
399001,深证成指,2011-11-21,10032.47,10063.85,9953.57,10033.79
399001,深证成指,2011-11-22,9971.68,10052.44,9922.30,10028.20
399001,深证成指,2011-11-23,10043.02,10076.68,9933.21,9957.32
399001,深证成指,2011-11-24,9889.55,10023.07,9837.85,9966.74
399001,深证成指,2011-11-25,9943.66,9999.55,9866.27,9886.25
399001,深证成指,2011-11-28,9908.12,9961.66,9833.44,9884.70
399001,深证成指,2011-11-29,9970.92,10012.94,9903.18,10012.94
399001,深证成指,2011-11-30,9991.95,9991.95,9626.76,9693.39
399001,深证成指,2011-12-01,9976.52,10102.35,9902.82,9917.86
399001,深证成指,2011-12-02,9868.41,9898.09,9757.95,9808.23
399001,深证成指,2011-12-05,9805.45,9807.69,9572.02,9586.08
399001,深证成指,2011-12-06,9568.87,9618.41,9505.23,9586.94
399001,深证成指,2011-12-07,9582.38,9656.23,9551.21,9606.25
399001,深证成指,2011-12-08,9603.15,9712.14,9477.13,9580.52
399001,深证成指,2011-12-09,9516.25,9583.15,9439.83,9480.27
399001,深证成指,2011-12-12,9457.83,9467.04,9365.38,9376.28
399001,深证成指,2011-12-13,9343.24,9367.75,9175.17,9190.88
399001,深证成指,2011-12-14,9164.21,9234.68,9064.63,9093.02
399001,深证成指,2011-12-15,9041.06,9041.06,8850.47,8871.09
399001,深证成指,2011-12-16,8864.94,9081.94,8849.80,9081.94
399001,深证成指,2011-12-19,9002.68,9089.87,8808.66,9054.08
399001,深证成指,2011-12-20,9020.97,9166.66,9013.35,9031.67
399001,深证成指,2011-12-21,9111.32,9147.22,8884.25,8884.25
399001,深证成指,2011-12-22,8828.62,8992.02,8710.57,8909.35
399001,深证成指,2011-12-23,8899.22,9100.29,8866.64,8976.52
399001,深证成指,2011-12-26,8931.58,9038.14,8875.10,8876.19
399001,深证成指,2011-12-27,8876.62,8904.95,8692.38,8711.55
399001,深证成指,2011-12-28,8667.33,8746.53,8555.12,8739.73
399001,深证成指,2011-12-29,8693.14,8831.80,8682.61,8781.32
399001,深证成指,2011-12-30,8805.41,8942.86,8805.41,8918.82
399001,深证成指,2012-01-04,8980.76,9025.66,8695.20,8695.99
399001,深证成指,2012-01-05,8653.10,8744.22,8566.06,8600.26
399001,深证成指,2012-01-06,8597.37,8643.29,8486.58,8634.42
399001,深证成指,2012-01-09,8638.52,8946.88,8532.67,8946.08
399001,深证成指,2012-01-10,8930.56,9291.31,8909.25,9281.25
399001,深证成指,2012-01-11,9278.05,9312.06,9186.16,9239.21
399001,深证成指,2012-01-12,9191.54,9344.74,9177.59,9200.93
399001,深证成指,2012-01-13,9216.96,9258.31,8951.72,9030.59
399001,深证成指,2012-01-16,8951.18,9024.42,8823.80,8827.47
399001,深证成指,2012-01-17,8835.88,9305.42,8762.57,9264.09
399001,深证成指,2012-01-18,9326.43,9399.02,9085.04,9115.27
399001,深证成指,2012-01-19,9119.88,9363.05,9078.98,9300.22
399001,深证成指,2012-01-20,9348.45,9503.37,9259.02,9466.14
399001,深证成指,2012-01-30,9482.21,9482.21,9274.85,9274.85
399001,深证成指,2012-01-31,9278.09,9324.81,9213.14,9303.65
399001,深证成指,2012-02-01,9277.79,9403.37,9173.07,9193.39
399001,深证成指,2012-02-02,9222.24,9382.13,9174.72,9382.13
399001,深证成指,2012-02-03,9349.28,9472.02,9292.78,9436.99
399001,深证成指,2012-02-06,9451.17,9526.79,9404.49,9448.64
399001,深证成指,2012-02-07,9393.76,9393.76,9206.86,9266.71
399001,深证成指,2012-02-08,9259.64,9605.20,9236.16,9557.58
399001,深证成指,2012-02-09,9548.22,9630.35,9493.93,9560.73
399001,深证成指,2012-02-10,9539.70,9699.30,9539.70,9590.95
399001,深证成指,2012-02-13,9463.95,9670.78,9420.40,9585.08
399001,深证成指,2012-02-14,9574.87,9597.08,9478.59,9543.77
399001,深证成指,2012-02-15,9523.65,9725.22,9515.79,9673.44
399001,深证成指,2012-02-16,9647.15,9727.03,9557.94,9622.83
399001,深证成指,2012-02-17,9681.45,9719.53,9553.59,9615.34
399001,深证成指,2012-02-20,9741.15,9755.76,9616.65,9616.65
399001,深证成指,2012-02-21,9632.44,9695.87,9539.83,9695.87
399001,深证成指,2012-02-22,9709.93,9865.77,9701.56,9862.53
399001,深证成指,2012-02-23,9859.43,9958.75,9840.05,9918.94
399001,深证成指,2012-02-24,9922.16,10131.13,9907.03,10124.15
399001,深证成指,2012-02-27,10157.18,10333.92,10157.18,10177.33
399001,深证成指,2012-02-28,10155.04,10233.07,10087.06,10161.86
399001,深证成指,2012-02-29,10126.68,10214.63,10048.79,10054.84
399001,深证成指,2012-03-01,10011.12,10125.67,10011.12,10060.96
399001,深证成指,2012-03-02,10078.82,10301.64,10078.82,10299.93
399001,深证成指,2012-03-05,10338.00,10379.46,10217.53,10226.44
399001,深证成指,2012-03-06,10193.23,10225.05,10070.49,10093.81
399001,深证成指,2012-03-07,9997.89,10173.66,9991.33,10054.86
399001,深证成指,2012-03-08,10092.13,10228.24,10084.52,10171.13
399001,深证成指,2012-03-09,10202.94,10334.38,10161.72,10334.38
399001,深证成指,2012-03-12,10322.95,10373.92,10228.39,10300.50
399001,深证成指,2012-03-13,10308.64,10427.24,10292.05,10427.24
399001,深证成指,2012-03-14,10487.30,10529.00,10063.78,10094.89
399001,深证成指,2012-03-15,10101.27,10173.38,10013.43,10086.56
399001,深证成指,2012-03-16,10115.31,10284.25,10071.58,10279.30
399001,深证成指,2012-03-19,10256.51,10306.46,10186.08,10296.17
399001,深证成指,2012-03-20,10255.25,10255.25,10110.38,10116.39
399001,深证成指,2012-03-21,10152.30,10225.54,10006.92,10090.44
399001,深证成指,2012-03-22,10082.25,10116.95,10008.88,10038.95
399001,深证成指,2012-03-23,10002.90,10029.44,9858.37,9885.25
399001,深证成指,2012-03-26,9871.89,9956.35,9871.89,9946.14
399001,深证成指,2012-03-27,9959.44,10008.68,9830.51,9841.38
399001,深证成指,2012-03-28,9800.29,9824.62,9515.98,9531.15
399001,深证成指,2012-03-29,9478.12,9565.01,9352.17,9418.23
399001,深证成指,2012-03-30,9426.64,9505.14,9365.53,9410.26
399001,深证成指,2012-04-05,9410.97,9737.90,9388.78,9709.03
399001,深证成指,2012-04-06,9704.88,9811.68,9684.37,9786.19
